TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_DL,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_DL|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_DL,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization,Treasury_DL|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization,
Treasury_DL,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),Treasury_DL|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),
Treasury_DL,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,Treasury_DL|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,
Treasury_DL,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax,Treasury_DL|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax,
Treasury_DL,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_DL|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_DL,Borrowing,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_DL|Borrowing|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_DL,Bond FVOCI,Bond OCI/AC_TD_Trade Date Buy,Treasury_DL|Bond FVOCI|Bond OCI/AC_TD_Trade Date Buy,
Treasury_DL,Bond FVOCI,Bond_MF_Value Date Settlement,Treasury_DL|Bond FVOCI|Bond_MF_Value Date Settlement,
Treasury_DL,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_DL|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_DL,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_DL|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_DL,Bond FVOCI,PSAK_MF_Pay Date WIthholding Tax,Treasury_DL|Bond FVOCI|PSAK_MF_Pay Date WIthholding Tax,
Treasury_DL,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_DL|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_DL,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_DL|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_DL,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_DL|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_DL,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_DL|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY (NI),
