TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury,MMLD Rate,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY (NI),Treasury|MMLD Rate|CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY (NI),
Treasury,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY_IDR,Treasury|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY_IDR,
Treasury,MMLD Rate,CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY_IDR,Treasury|MMLD Rate|CCS/IRS_Leg_Daily Interest Accrued_Rec_FCY_IDR,
Treasury,CCS IRS,CCS/IRS_Leg_Trade Date Commitment,Treasury|CCS IRS|CCS/IRS_Leg_Trade Date Commitment,
Treasury,MMLD Rate,CCS/IRS_Leg_Trade Date Commitment,Treasury|MMLD Rate|CCS/IRS_Leg_Trade Date Commitment,
Treasury,CCS IRS,CCS/IRS_MF_Closing Date Accrued Interest,Treasury|CCS IRS|CCS/IRS_MF_Closing Date Accrued Interest,
Treasury,MMLD Rate,CCS/IRS_MF_Closing Date Accrued Interest,Treasury|MMLD Rate|CCS/IRS_MF_Closing Date Accrued Interest,
Treasury,CCS IRS,CCS/IRS_MF_Closing Date Accrued Interest_FCY (NI),Treasury|CCS IRS|CCS/IRS_MF_Closing Date Accrued Interest_FCY (NI),
Treasury,CCS IRS,CCS/IRS_MF_Closing Date Accrued Interest_FCY_IDR,Treasury|CCS IRS|CCS/IRS_MF_Closing Date Accrued Interest_FCY_IDR,
Treasury,CCS IRS,CCS/IRS_MF_Nominal Exchange Commitment_Pay,Treasury|CCS IRS|CCS/IRS_MF_Nominal Exchange Commitment_Pay,
Treasury,CCS IRS,CCS/IRS_MF_Nominal Exchange Commitment_Rec,Treasury|CCS IRS|CCS/IRS_MF_Nominal Exchange Commitment_Rec,
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Interest_Pay,Treasury|CCS IRS|CCS/IRS_MF_Pay Date Interest_Pay,
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Interest_Pay_FCY (NI),Treasury|CCS IRS|CCS/IRS_MF_Pay Date Interest_Pay_FCY (NI),
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Interest_Pay_FCY_IDR,Treasury|CCS IRS|CCS/IRS_MF_Pay Date Interest_Pay_FCY_IDR,
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Interest_Rec,Treasury|CCS IRS|CCS/IRS_MF_Pay Date Interest_Rec,
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Interest_Rec_FCY (NI),Treasury|CCS IRS|CCS/IRS_MF_Pay Date Interest_Rec_FCY (NI),
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Interest_Rec_FCY_IDR,Treasury|CCS IRS|CCS/IRS_MF_Pay Date Interest_Rec_FCY_IDR,
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Nominal Exchange,Treasury|CCS IRS|CCS/IRS_MF_Pay Date Nominal Exchange,
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Termination Fee,Treasury|CCS IRS|CCS/IRS_MF_Pay Date Termination Fee,
Treasury,MMLD Rate,CCS/IRS_MF_Pay Date Termination Fee,Treasury|MMLD Rate|CCS/IRS_MF_Pay Date Termination Fee,
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Termination Fee_FCY (NI),Treasury|CCS IRS|CCS/IRS_MF_Pay Date Termination Fee_FCY (NI),
Treasury,MMLD Rate,CCS/IRS_MF_Pay Date Termination Fee_FCY (NI),Treasury|MMLD Rate|CCS/IRS_MF_Pay Date Termination Fee_FCY (NI),
Treasury,CCS IRS,CCS/IRS_MF_Pay Date Termination Fee_FCY_IDR,Treasury|CCS IRS|CCS/IRS_MF_Pay Date Termination Fee_FCY_IDR,
Treasury,MMLD Rate,CCS/IRS_MF_Pay Date Termination Fee_FCY_IDR,Treasury|MMLD Rate|CCS/IRS_MF_Pay Date Termination Fee_FCY_IDR,
Treasury,CCS IRS,CCS/IRS_TD_Daily Mark to Market,Treasury|CCS IRS|CCS/IRS_TD_Daily Mark to Market,
Treasury,Cash_Payment Autoinvest,CP_AutoInvest_Premium,Treasury|Cash_Payment Autoinvest|CP_AutoInvest_Premium,
Treasury,Cash_Payment Autoinvest,CP_Interest Accrued,Treasury|Cash_Payment Autoinvest|CP_Interest Accrued,
Treasury,Cash_Payment Autoinvest,CP_Interest income,Treasury|Cash_Payment Autoinvest|CP_Interest income,
Treasury,DCI Premium,DCI_MF_Premium Pay Date (Client),Treasury|DCI Premium|DCI_MF_Premium Pay Date (Client),
Treasury,DCI Premium,DCI_MF_Premium Trade Date (Client),Treasury|DCI Premium|DCI_MF_Premium Trade Date (Client),
Treasury,DCI Premium,DCI_MF_Premium Trade Date (Cpty),Treasury|DCI Premium|DCI_MF_Premium Trade Date (Cpty),
Treasury,Placement(Discounted),DepoLoan Discounted_MF_Maturity Date,Treasury|Placement(Discounted)|DepoLoan Discounted_MF_Maturity Date,
Treasury,Placement(Discounted),DepoLoan Discounted_MF_Maturity Pay Date,Treasury|Placement(Discounted)|DepoLoan Discounted_MF_Maturity Pay Date,
Treasury,Placement(Discounted),DepoLoan Discounted_MF_Trade Date Principal,Treasury|Placement(Discounted)|DepoLoan Discounted_MF_Trade Date Principal,
Treasury,Placement(Discounted),DepoLoan Discounted_MF_Value Date Principal,Treasury|Placement(Discounted)|DepoLoan Discounted_MF_Value Date Principal,
Treasury,Placement,DepoLoan_MF_Maturity Date Principal,Treasury|Placement|DepoLoan_MF_Maturity Date Principal,
Treasury,Borrowing,DepoLoan_MF_Maturity Date Principal,Treasury|Borrowing|DepoLoan_MF_Maturity Date Principal,
Treasury,Placement,DepoLoan_MF_Pay Date Interest PL,Treasury|Placement|DepoLoan_MF_Pay Date Interest PL,
Treasury,Borrowing,DepoLoan_MF_Pay Date Interest PL,Treasury|Borrowing|DepoLoan_MF_Pay Date Interest PL,
