TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury|19511633,19511633,Repo_MF_Pay Date Interest|PSAK FI Interest Income|Debit,Treasury,Treasury|19511633|Repo_MF_Pay Date Interest|PSAK FI Interest Income|Debit|Repo,Repo,
Treasury|19511633,19511633,Repo_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Repo_MF_Value Date Principal|Cash Analysis Projected|Debit|Repo,Repo,
Treasury|19511633,19511633,Repo_MF_Value Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Repo_MF_Value Date Principal|Cash Analysis Projected|Debit|Reverse Repo,Reverse Repo,
Treasury|19511633,19511633,Repo_MF_Pay Date Interest|PSAK FI Interest Income|Debit,Treasury,Treasury|19511633|Repo_MF_Pay Date Interest|PSAK FI Interest Income|Debit|Reverse Repo,Reverse Repo,
Treasury|19511633,19511633,Repo_MF_Maturity Date Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Repo_MF_Maturity Date Principal|Cash Analysis Projected|Debit|Reverse Repo,Reverse Repo,
Treasury|19511633,19511633,FX_MF_Settle Date Payout|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|FX_MF_Settle Date Payout|Cash Analysis Projected|Debit|FX NDF,FX NDF,
Treasury|19511633,19511633,Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Pay Date Settlement Principal|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|19511633,19511633,Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Pay Date Interest|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|19511633,19511633,Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|Bond_MF_Value Date Settlement|Cash Analysis Projected|Debit|Bond FVOCI,Bond FVOCI,
Treasury|19511633,19511633,PSAK_MF_Pay Date Non-Attributable Fee (Linear)|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date Non-Attributable Fee (Linear)|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
Treasury|19511633,19511633,PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Debit,Treasury,Treasury|19511633|PSAK_MF_Pay Date WIthholding Tax|Cash Analysis Projected|Debit|Bond FVTPL,Bond FVTPL,
