PORTFOLIO,,,,,,,,,ADDITIONALINFO,,/ADDITIONALINFO,/PORTFOLIO
CURRENCY_PAIR.CURR2.INSID,COMPOUND,ASSINF,TYPE_CHLNBR.ENTRY,CURRENCY_PAIR.CURR1.INSID,CURRENCY_PAIR.NAME,PRFID,CURR.INSID,TYPE_CHLNBR.LIST,ADDINF_SPECNBR.FIELD_NAME,VALUE,,
,,BB BOND AC BMSG - DBU,Amortised Cost,,,BB BOND AC BMSG - DBU,SGD,PortfolioType,FundPortfolio,No,,,
,,BB BOND OCI BMSG - DBU,FVOCI,,,BB BOND OCI BMSG - DBU,SGD,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond Treasury Sharia BMSG - DBU,,,,BB Bond Treasury Sharia BMSG - DBU,SGD,,FundPortfolio,No,,,
,,BB BOND SHARIA PL BMSG - DBU,FVTPL,,,BB BOND SHARIA PL BMSG - DBU,SGD,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA AC BMSG - DBU,Amortised Cost,,,BB BOND SHARIA AC BMSG - DBU,SGD,PortfolioType,FundPortfolio,No,,,
,,BB BOND SHARIA OCI BMSG - DBU,FVOCI,,,BB BOND SHARIA OCI BMSG - DBU,SGD,PortfolioType,FundPortfolio,No,,,
,Yes,BB Bond BU BMSG - DBU,,,,BB Bond BU BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,Bonds BU IBFI BMSG - DBU,,,,Bonds BU IBFI BMSG - DBU,SGD,,FundPortfolio,No,,,
,,IBFI 1 BMSG - DBU,,,,IBFI 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,Bonds BU Corporate Banking SG - DBU,,,,Bonds BU Corporate Banking SG - DBU,SGD,,FundPortfolio,No,,,
,,CB 1 BMSG - DBU,,,,CB 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,CB 2 BMSG - DBU,,,,CB 2 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,CB 3 BMSG - DBU,,,,CB 3 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,CB 4 BMSG - DBU,,,,CB 4 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,CB 5 BMSG - DBU,,,,CB 5 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,CB 6 BMSG - DBU,,,,CB 6 BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,Bonds BU GVI BMSG - DBU,,,,Bonds BU GVI BMSG - DBU,SGD,,FundPortfolio,No,,,
,,GVI 1 BMSG - DBU,,,,GVI 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,GVI 2 BMSG - DBU,,,,GVI 2 BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,Bonds BU Commercial Banking SG - DBU,,,,Bonds BU Commercial Banking SG - DBU,SGD,,FundPortfolio,No,,,
,,Commercial 1 BMSG - DBU,,,,Commercial 1 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,Commercial 2 BMSG - DBU,,,,Commercial 2 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,Commercial 3 BMSG - DBU,,,,Commercial 3 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,Commercial 4 BMSG - DBU,,,,Commercial 4 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,Commercial 5 BMSG - DBU,,,,Commercial 5 BMSG - DBU,SGD,,FundPortfolio,No,,,
,,Commercial 6 BMSG - DBU,,,,Commercial 6 BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,LAL BMSG - DBU,,,,LAL BMSG - DBU,SGD,,FundPortfolio,No,,,
,,LIQ IB BMSG - DBU,,,,LIQ IB BMSG - DBU,SGD,,FundPortfolio,No,,,
,,LIQ MM BMSG - DBU,,,,LIQ MM BMSG - DBU,SGD,,FundPortfolio,No,,,
,,ALM Bilateral Loans BMSG - DBU,,,,ALM Bilateral Loans BMSG - DBU,SGD,,FundPortfolio,No,,,
,,ALM Bonds Issued BMSG - DBU,,,,ALM Bonds Issued BMSG - DBU,SGD,,FundPortfolio,No,,,
,,LIQ NOS BMSG - DBU,,,,LIQ NOS BMSG - DBU,SGD,,FundPortfolio,No,,,
,Yes,BMSG - DBU - Client,,,,BMSG - DBU - Client,SGD,,FundPortfolio,No,,,
,,FX with Customer BMSG - DBU,,,,FX with Customer BMSG - DBU,SGD,,FundPortfolio,No,,,
,,Bonds with Customer BMSG - DBU,,,,Bonds with Customer BMSG - DBU,SGD,,FundPortfolio,No,,,
,,Derivative with Customer BMSG - DBU,,,,Derivative with Customer BMSG - DBU,SGD,,FundPortfolio,No,,,
