CHOICELIST,,,,/CHOICELIST
LIST,SORT_ORDER,ENTRY,DESCRIPTION,
MASTER,,Location,Customer Address Location in eMAS,
Location,260,"Kab. Indragiri Hilir, Riau",3505,
Location,261,"Kab. Karimun, Riau",3506,
Location,262,"Kab. Natuna, Riau",3507,
Location,263,"Kab. Rokan Hulu, Riau",3508,
Location,264,"Kab. Rokan Hilir, Riau",3509,
Location,265,"Kab. Pelalawan, Riau",3510,
Location,266,"Kab. Siak, Riau",3511,
Location,267,Kab. Kuantan Singingi,3512,
Location,268,Kab. KEPULAUAN ANAMBAS,3513,
Location,269,Kab.Kepulauan Meranti,3514,
Location,270,"Prov.Riau,Kab/Kota lainnya",3588,
Location,271,"Kod. Pekanbaru, Riau",3591,
Location,272,"Kotif Dumai, Riau",3592,
Location,273,"Kotif Tanjungpinang, Riau",3593,
Location,274,"Kotif Pulau Batam, Riau",3594,
Location,275,XXXProvinsi Sumatera Selatan,3600,
Location,276,"Kab. Musi/Banyuasin, Sumatera Selatan",3606,
Location,277,"Kab. Ogan Komering Ulu, Sumatera Sel",3607,
Location,278,"Kab.Lematang Ilir Ogan, Sumatera Sel",3608,
Location,279,"Kab. Lahat, Sumatera Selatan",3609,
Location,280,"Kab. Musi Rawas, Sumatera Selatan",3610,
Location,281,"Kab.Ogan Komering Ilir, Sumatera Sel",3611,
Location,282,Kab.Pangkalan Balai,3612,
Location,283,Kab. Banyuasin,3613,
Location,284,Kab. Ogan Komeing Ulu Selatan,3614,
Location,285,Kab. Ogan Komeing Ulu Timur,3615,
Location,286,Kab. Ogan Ilir,3616,
Location,287,Kabupaten Empat Lawang,3617,
Location,288,Kab. Musi Rawas Utara,3618,
Location,289,Kab. Penukal Abab Lematang Ilir,3619,
Location,290,XXXProv.Sumatera Selatan,3688,
Location,291,"Kod. Palembang, Sumatera Selatan",3691,
Location,293,"Kotif Lubuklinggau, Sumatera Selatan",3693,
Location,294,"Kotif Prabumulih, Sumatera Selatan",3694,
Location,295,"Kotif Baturaja, Sumatera Selatan",3695,
Location,296,Kab. PENUKAL ABAB LEMATANG ILIR 3696,3696,
Location,297,"Kotif Pagar Alam, Sumatera Selatan",3697,
Location,298,Kab. MUARA ENIM,3698,
Location,299,Kab. MUSI RAWAS UTARA 3699,3699,
Location,300,XXXProvinsi Kep.Bangka Belitung,3700,
Location,301,Kab.Bangka,3701,
Location,302,Kab.Belitung,3702,
Location,303,Kab. Bangka Barat,3703,
Location,304,Kab. Bangka Selatan,3704,
Location,305,Kab. Bangka Tengah,3705,
Location,306,Kab. Belitung Timur,3706,
Location,307,Kab. Bangka Belitung/ Pangkal Pinang,3707,
Location,308,"Prov.Babel,Kab/Kota Lainnya",3788,
Location,309,Kota Pangkal Pinang,3791,
Location,310,Kab. Karimun,3801,
Location,311,Kab. Lingga,3802,
Location,312,Kab. Natuna,3803,
Location,313,Kab. Bintan (Kabupaten Kepulauan Riau),3804,
Location,314,Kab. Anambas,3805,
Location,315,Kota Tanjung Pinang,3891,
Location,316,Kota Batam,3892,
Location,317,XXXProvinsi Lampung,3900,
Location,318,"Kab. Lampung Selatan, Lampung",3901,
Location,319,"Kab. Lampung Tengah, Lampung",3902,
Location,320,"Kab. Lampung Utara, Lampung",3903,
Location,321,"Kab. Lampung Barat, Lampung",3904,
Location,322,"Kab. Tulang Bawang, Lampung",3905,
Location,323,"Kab. Tanggamus, Lampung",3906,
Location,324,"Kab. Lampung Timur, Lampung",3907,
Location,325,"Kab. Way Kanan, Lampung",3908,
Location,326,Kabupaten Pesawaran,3909,
Location,327,Kab. Pringsewu,3910,
Location,328,Kab. Tulang Bawang Barat,3911,
Location,329,Kab. Mesuji,3912,
Location,330,Kab. Pesisir Barat,3913,
Location,331,"XXXProv.Lampung,Kab/Kota Lainnya",3988,
Location,332,"Kod. Bandar Lampung, Lampung",3991,
Location,333,"Kotif Metro, Lampung",3992,
Location,334,Kab. MESUJI 3993,3993,
Location,335,Kab. PESISIR BARAT 3994,3994,
Location,336,Provinsi Kalimantan Selatan,5100,
Location,337,"Kab. Banjar, Kalimantan Selatan",5101,
Location,338,"Kab. Tanah Laut, Kalimantan Selatan",5102,
Location,339,"Kab. Tapin, Kalimantan Selatan",5103,
Location,340,"Kab.Hulu Sungai Selata, Kal-Sel",5104,
Location,341,"Kab.Hulu Sungai Tengah, Kal-Sel",5105,
Location,342,"Kab.Hulu Sungai Utara, Kal-Sel",5106,
Location,343,"Kab. Barito Kuala, Kalimantan Selatan",5107,
Location,344,"Kab. Kota Baru, Kalimantan Selatan",5108,
Location,345,"Kab. Tobalong, Kalimantan Selatan",5109,
Location,346,Kab.Tanah Baru,5110,
Location,347,Kab.Balangan,5111,
Location,348,"XXXProv.Kal-Sel,Kab/Kota Lainnya",5188,
Location,349,"Kod. Banjarmasin, Kalimantan Selatan",5191,
Location,350,"Kotif Banjarbaru, Kalimantan Selatan",5192,
