TACCOUNTALLOCLINK,,,,,,/TACCOUNTALLOCLINK
COA.ID,CHART_OF_ACCOUNT.T_ACCOUNT.NUMBER,JVD.ID,CHART_OF_ACCOUNT.BOOK.NAME,ID,TREATMENT.NAME,
Treasury_CI|61512101,61512101,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|61512101|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit|FX Spot,FX Spot,
Treasury_CI|71512101,71512101,FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|71512101|FX_MF_Value Date OffBalance Principal|Cash Analysis Projected|Credit|FX Spot,FX Spot,
Treasury_CI|19811105,19811105,FX_MF_Value Date Principal|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|19811105|FX_MF_Value Date Principal|Cash Analysis Projected|Credit|FX Spot,FX Spot,
Treasury_CI|44511101,44511101,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Credit,Treasury_CI,Treasury_CI|44511101|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Credit|FX Spot,FX Spot,
Treasury_CI|14512101,14512101,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit,Treasury_CI,Treasury_CI|14512101|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit|FX Spot,FX Spot,
Treasury_CI|23012101,23012101,FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit,Treasury_CI,Treasury_CI|23012101|FX_TD_Daily Mark-to-Market|Portfolio Unrealized Profit and Loss Acc Curr|Debit|FX Spot,FX Spot,
Treasury_CI|41021102,41021102,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit,Treasury_CI,Treasury_CI|41021102|DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit|Placement,Placement,
Treasury_CI|P/L DUMMY,P/L DUMMY,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit,Treasury_CI,Treasury_CI|P/L DUMMY|DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit|Placement,Placement,
Treasury_CI|P/L DUMMY,P/L DUMMY,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit,Treasury_CI,Treasury_CI|P/L DUMMY|DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit|Placement,Placement,
Treasury_CI|41021102,41021102,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit,Treasury_CI,Treasury_CI|41021102|DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit|Placement,Placement,
Treasury_CI|51021101,51021101,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit,Treasury_CI,Treasury_CI|51021101|DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Credit|Borrowing,Borrowing,
Treasury_CI|P/L DUMMY,P/L DUMMY,DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit,Treasury_CI,Treasury_CI|P/L DUMMY|DepoLoan_TD_Daily Interest Accrual_FCY (NI)|Accounting Accrued Interest FI|Debit|Borrowing,Borrowing,
Treasury_CI|51021101,51021101,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit,Treasury_CI,Treasury_CI|51021101|DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Credit|Borrowing,Borrowing,
Treasury_CI|P/L DUMMY,P/L DUMMY,DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit,Treasury_CI,Treasury_CI|P/L DUMMY|DepoLoan_MF_Pay Date Interest PL_FCY (NI)|PSAK FI Interest Income|Debit|Borrowing,Borrowing,
Treasury_CI|19511633,19511633,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit,Treasury_CI,Treasury_CI|19511633|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Debit|Borrowing,Borrowing,
Treasury_CI|24511901,24511901,PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Credit,Treasury_CI,Treasury_CI|24511901|PSAK_MF_Pay Date Attributable Fee|Cash Analysis Projected|Credit|Borrowing,Borrowing,
