TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_CI,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_CI|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_CI,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_CI|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_CI,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL,Treasury_CI|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL,
Treasury_CI,Bond FVOCI,Bond_MF_Daily Interest Accrual PL,Treasury_CI|Bond FVOCI|Bond_MF_Daily Interest Accrual PL,
Treasury_CI,Borrowing,DepoLoan_MF_Trade Date Principal,Treasury_CI|Borrowing|DepoLoan_MF_Trade Date Principal,
Treasury_CI,Bond Issuance,Bond_MF_Daily Interest Accrual PL,Treasury_CI|Bond Issuance|Bond_MF_Daily Interest Accrual PL,
Treasury_CI,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_CI|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_CI,Bond Issuance,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_CI|Bond Issuance|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_CI,Bond Issuance,Bond_MF_Pay Date Settlement Principal,Treasury_CI|Bond Issuance|Bond_MF_Pay Date Settlement Principal,
Treasury_CI,Bond Issuance,Bond_MF_Pay Date Interest,Treasury_CI|Bond Issuance|Bond_MF_Pay Date Interest,
Treasury_CI,Bond Issuance,Bond_MF_Value Date Settlement,Treasury_CI|Bond Issuance|Bond_MF_Value Date Settlement,
Treasury_CI,Bond Issuance,Bond_TD_Daily Interest Accrual,Treasury_CI|Bond Issuance|Bond_TD_Daily Interest Accrual,
Treasury_CI,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_CI|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_CI,Bond Issuance,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_CI|Bond Issuance|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_CI,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization,Treasury_CI|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization,
Treasury_CI,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_CI|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_CI,Bond Issuance,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_CI|Bond Issuance|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_CI,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_CI|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_CI,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),Treasury_CI|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY (NI),
Treasury_CI,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,Treasury_CI|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (As Fee) FCY_ACCY,
Treasury_CI,Bond Issuance,PSAK_MF_Pay Date Attributable Fee,Treasury_CI|Bond Issuance|PSAK_MF_Pay Date Attributable Fee,
Treasury_CI,Bond Issuance,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_CI|Bond Issuance|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_CI,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Pay,Treasury_CI|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Pay,
Treasury_CI,CCS IRS,CCS/IRS_Leg_Daily Interest Accrued_Rec,Treasury_CI|CCS IRS|CCS/IRS_Leg_Daily Interest Accrued_Rec,
Treasury_CI,CCS IRS,CCS/IRS_Leg_Trade Date Commitment,Treasury_CI|CCS IRS|CCS/IRS_Leg_Trade Date Commitment,
Treasury_CI,CCS IRS,CCS/IRS_Leg Maturity Date Commitment,Treasury_CI|CCS IRS|CCS/IRS_Leg Maturity Date Commitment,
