TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_HK,Bond FVTPL,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_HK|Bond FVTPL|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_HK,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization,Treasury_HK|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization,
Treasury_HK,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),Treasury_HK|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY (NI),
Treasury_HK,Bond FVTPL,PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,Treasury_HK|Bond FVTPL|PSAK_TD_Daily Non-Attributable Fee Amortization_FCY_ACCY,
Treasury_HK,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax,Treasury_HK|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax,
Treasury_HK,Bond FVTPL,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_HK|Bond FVTPL|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_HK,Borrowing,PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),Treasury_HK|Borrowing|PSAK_MF_Pay Date WIthholding Tax (Latest)_FCY (NI),
Treasury_HK,Bond FVOCI,Bond OCI/AC_TD_Trade Date Buy,Treasury_HK|Bond FVOCI|Bond OCI/AC_TD_Trade Date Buy,
Treasury_HK,Bond FVOCI,Bond_MF_Value Date Settlement,Treasury_HK|Bond FVOCI|Bond_MF_Value Date Settlement,
Treasury_HK,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_HK|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_HK,Bond FVOCI,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_HK|Bond FVOCI|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_HK,Bond FVOCI,PSAK_MF_Pay Date WIthholding Tax,Treasury_HK|Bond FVOCI|PSAK_MF_Pay Date WIthholding Tax,
Treasury_HK,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_HK|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_HK,Bond FVOCI,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_HK|Bond FVOCI|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
Treasury_HK,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_HK|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_HK,Bond FVOCI,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_HK|Bond FVOCI|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_HK,Bond FVOCI,Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),Treasury_HK|Bond FVOCI|Bond_TD_Daily MtM Trade Contract Ref BUPL_FCY (NI),
Treasury_HK,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_HK|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_HK,Bond FVOCI,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_HK|Bond FVOCI|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_HK,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY (NI),Treasury_HK|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY (NI),
Treasury_HK,Bond FVOCI,Bond_TD_Trade Date Sell RPL_FCY_ACCY,Treasury_HK|Bond FVOCI|Bond_TD_Trade Date Sell RPL_FCY_ACCY,
Treasury_HK,Bond FVOCI,PSAK_MF_Pay Date Attributable Fee,Treasury_HK|Bond FVOCI|PSAK_MF_Pay Date Attributable Fee,
Treasury_HK,Bond FVTPL,Bond_MF_Daily Interest Accrual PL,Treasury_HK|Bond FVTPL|Bond_MF_Daily Interest Accrual PL,
Treasury_HK,Bond FVTPL,Bond_TD_Premium/Discount FVTPL Maturity Date,Treasury_HK|Bond FVTPL|Bond_TD_Premium/Discount FVTPL Maturity Date,
Treasury_HK,Placement,DepoLoan_MF_Trade Date Principal,Treasury_HK|Placement|DepoLoan_MF_Trade Date Principal,
Treasury_HK,Bond Amortised Cost,Bond OCI/AC_TD_Trade Date Buy,Treasury_HK|Bond Amortised Cost|Bond OCI/AC_TD_Trade Date Buy,
Treasury_HK,Bond Amortised Cost,PSAK_MF_Pay Date Attributable Fee,Treasury_HK|Bond Amortised Cost|PSAK_MF_Pay Date Attributable Fee,
Treasury_HK,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (As Fee),Treasury_HK|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (As Fee),
Treasury_HK,Bond Amortised Cost,PSAK_MF_Pay Date Non-Attributable Fee (Linear),Treasury_HK|Bond Amortised Cost|PSAK_MF_Pay Date Non-Attributable Fee (Linear),
Treasury_HK,Bond Amortised Cost,PSAK_MF_Pay Date WIthholding Tax,Treasury_HK|Bond Amortised Cost|PSAK_MF_Pay Date WIthholding Tax,
Treasury_HK,Bond Amortised Cost,Bond_MF_Value Date Settlement,Treasury_HK|Bond Amortised Cost|Bond_MF_Value Date Settlement,
Treasury_HK,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY_ACCY,Treasury_HK|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_HK,Bond Amortised Cost,Bond_TD_Daily Interest Accrual_FCY (NI),Treasury_HK|Bond Amortised Cost|Bond_TD_Daily Interest Accrual_FCY (NI),
Treasury_HK,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY (NI),Treasury_HK|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY (NI),
Treasury_HK,Bond Amortised Cost,Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,Treasury_HK|Bond Amortised Cost|Bond_TD_Daily Premium/Discount Amortization_FCY_ACCY,
Treasury_HK,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY (NI),Treasury_HK|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY (NI),
Treasury_HK,Bond Amortised Cost,Bond_MF_Daily Interest Accrual PL_FCY_ACCY,Treasury_HK|Bond Amortised Cost|Bond_MF_Daily Interest Accrual PL_FCY_ACCY,
