VOLATILITY,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,KAPPA,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/1Y/ATM,0.00864,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/20Y/ATM,0.00739,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/25Y/ATM,0.00729,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/2Y/ATM,0.00846,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/30Y/ATM,0.00723,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/3Y/ATM,0.00833,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/4Y/ATM,0.00822,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/5Y/ATM,0.00815,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/6Y/ATM,0.00807,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/7Y/ATM,0.00798,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/8Y/ATM,0.00792,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/3Y/9Y/ATM,0.00785,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/10Y/ATM,0.00758,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/15Y/ATM,0.00736,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/1Y/ATM,0.00836,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/20Y/ATM,0.00713,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/25Y/ATM,0.00702,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/2Y/ATM,0.0082,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/30Y/ATM,0.00695,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/3Y/ATM,0.00815,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/4Y/ATM,0.00806,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/5Y/ATM,0.00798,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/6Y/ATM,0.00789,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/7Y/ATM,0.0078,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/8Y/ATM,0.00772,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/4Y/9Y/ATM,0.00765,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/10Y/ATM,0.00741,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/15Y/ATM,0.00716,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/1Y/ATM,0.00812,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/20Y/ATM,0.0069,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/25Y/ATM,0.00677,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/2Y/ATM,0.00798,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/30Y/ATM,0.0067,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/3Y/ATM,0.00793,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/4Y/ATM,0.00785,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/5Y/ATM,0.0078,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/6Y/ATM,0.00771,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/7Y/ATM,0.00762,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/8Y/ATM,0.00755,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/5Y/9Y/ATM,0.00748,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/10Y/ATM,0.00842,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/15Y/ATM,0.00833,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/1Y/ATM,0.00668,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/20Y/ATM,0.00827,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/25Y/ATM,0.00824,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/2Y/ATM,0.00816,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/30Y/ATM,0.00819,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/3Y/ATM,0.0084,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/4Y/ATM,0.00842,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/5Y/ATM,0.00842,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/6Y/ATM,0.00843,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/7Y/ATM,0.00842,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/8Y/ATM,0.00842,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/6M/9Y/ATM,0.00842,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/10Y/ATM,0.00704,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/15Y/ATM,0.00675,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/1Y/ATM,0.00781,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/20Y/ATM,0.0065,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/25Y/ATM,0.00636,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/2Y/ATM,0.00759,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/30Y/ATM,0.0063,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/3Y/ATM,0.00755,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/4Y/ATM,0.00749,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/5Y/ATM,0.00744,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/6Y/ATM,0.00736,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/7Y/ATM,0.00727,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/8Y/ATM,0.00719,,
,,,,,,,,,,,,,,,,,,,,USD/R/IRS/LI3M/BP-VOL/7Y/9Y/ATM,0.00712,,
