VOLATILITY,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CURR.INSID,DATA,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/10Y/ATM,0.00844,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/15Y/ATM,0.0084,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/1Y/ATM,0.00585,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/20Y/ATM,0.00837,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/25Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/2Y/ATM,0.00799,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/30Y/ATM,0.00834,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/3Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/4Y/ATM,0.00851,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/5Y/ATM,0.00857,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/6Y/ATM,0.00853,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/7Y/ATM,0.00849,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/8Y/ATM,0.00848,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3M/9Y/ATM,0.00846,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/10Y/ATM,0.00773,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/15Y/ATM,0.00753,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/1Y/ATM,0.00857,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/20Y/ATM,0.00734,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/25Y/ATM,0.00725,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/2Y/ATM,0.00841,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/30Y/ATM,0.00718,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/3Y/ATM,0.00827,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/4Y/ATM,0.00816,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/5Y/ATM,0.00809,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/6Y/ATM,0.00801,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/7Y/ATM,0.00793,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/8Y/ATM,0.00786,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/3Y/9Y/ATM,0.00779,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/10Y/ATM,0.00753,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/15Y/ATM,0.00731,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/1Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/20Y/ATM,0.00708,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/25Y/ATM,0.00697,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/2Y/ATM,0.00817,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/30Y/ATM,0.0069,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/3Y/ATM,0.00809,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/4Y/ATM,0.00799,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/5Y/ATM,0.00792,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/6Y/ATM,0.00783,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/7Y/ATM,0.00774,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/8Y/ATM,0.00767,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/4Y/9Y/ATM,0.0076,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/10Y/ATM,0.00736,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/15Y/ATM,0.00711,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/1Y/ATM,0.00807,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/20Y/ATM,0.00685,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/25Y/ATM,0.00673,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/2Y/ATM,0.00792,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/30Y/ATM,0.00666,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/3Y/ATM,0.00788,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/4Y/ATM,0.00779,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/5Y/ATM,0.00774,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/6Y/ATM,0.00765,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/7Y/ATM,0.00757,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/8Y/ATM,0.0075,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/5Y/9Y/ATM,0.00743,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/10Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/15Y/ATM,0.00827,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/1Y/ATM,0.0066,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/20Y/ATM,0.00821,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/25Y/ATM,0.00819,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/2Y/ATM,0.00806,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/30Y/ATM,0.00814,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/3Y/ATM,0.00832,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/4Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/5Y/ATM,0.00836,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/6Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/7Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/8Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6M/9Y/ATM,0.00835,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/10Y/ATM,0.00718,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/15Y/ATM,0.00691,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/1Y/ATM,0.00791,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/20Y/ATM,0.00665,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/25Y/ATM,0.00652,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/2Y/ATM,0.00773,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/30Y/ATM,0.00646,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/3Y/ATM,0.00769,,
,,,,,,,,,,,,,,,,,,,USD/R/IRS/SO1D/BP-VOL/6Y/4Y/ATM,0.00762,,
