CONTEXT,CONTEXTLINK,,,,,,,,,,,,,,/CONTEXTLINK,/CONTEXT
NAME,DISC_TYPE_CHLNBR.ENTRY,INSADDR.INSID,GROUP_CHLNBR.ENTRY,PRFNBR.ASSINF,ATTRIBUTE0,DISC_TYPE_CHLNBR.LIST,PRFNBR.PRFID,GROUP_CHLNBR.LIST,NAME,INSADDR.ISIN,CURR.INSID,ATTRIBUTE_TYPE0,MAPPING_TYPE,TYPE,,
,,,,IRT MM Bond RDPU C3,,,IRT MM Bond RDPU C3,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT DCM C3,,,IRT DCM C3,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,Clients Bonds Retail C3,,,Clients Bonds Retail C3,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,Clients Bonds FI C3,,,Clients Bonds FI C3,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,IRT MM USD C3,,,IRT MM USD C3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,IRT MM PD C3,,,IRT MM PD C3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,IRT MM IDR C3,,,IRT MM IDR C3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,IRT MM Agent Bank C3,,,IRT MM Agent Bank C3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,TESTINGLIQ18,,,TESTINGLIQ18,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND PL C3,,,BB BOND PL C3,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND OCI C3,,,BB BOND OCI C3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,BB BOND AC C3,,,BB BOND AC C3,,ACCOUNTING AC/OCI,,,,Portfolio,Accounting Parameter,,
,,,,IRT Specialist FVTPL C3,,,IRT Specialist FVTPL C3,,ACCOUNTING PL,,,,Portfolio,Accounting Parameter,,
,,,,Wholesale SP,,,Wholesale SP,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Wholesale FX Branch C3,,,Wholesale FX Branch C3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Wholesale FX Branch,,,Wholesale FX Branch,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Wholesale FX & Derivative BO C3,,,Wholesale FX & Derivative BO C3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Wholesale FX & Derivative BO,,,Wholesale FX & Derivative BO,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Retail SP C3,,,Retail SP C3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Retail SP,,,Retail SP,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Retail FX Branch C3,,,Retail FX Branch C3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Retail FX Branch,,,Retail FX Branch,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Retail FX BO C3,,,Retail FX BO C3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,Retail FX BO,,,Retail FX BO,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Spot Major,,,FXT Spot Major,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Spot Emerging,,,FXT Spot Emerging,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Specialist C3 - Hedging,,,FXT Specialist C3 - Hedging,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Specialist C3,,,FXT Specialist C3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Specialist 3,,,FXT Specialist 3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Specialist 2,,,FXT Specialist 2,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Specialist 1,,,FXT Specialist 1,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Derivatives C3,,,FXT Derivatives C3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Derivatives 3,,,FXT Derivatives 3,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Derivatives 2,,,FXT Derivatives 2,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Derivatives 1,,,FXT Derivatives 1,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,,FXT Dept Head,,,FXT Dept Head,,ACCOUNTING FX,,,,Portfolio,Accounting Parameter,,
,,,Bills,,,,,ValGroup,ZERO,,,,Val Group,Repo,,
