CHOICELIST,,,,/CHOICELIST
EmasProdCode,254,KMK-MKUKBB,KMK-MKUKBB,
EmasProdCode,255,KMK-PK-FL,KMK-PK-FL,
EmasProdCode,256,KMK-PP,KMK-PP,
EmasProdCode,257,KMK-SL,KMK-SL,
EmasProdCode,258,KMK-WIKA,KMK-WIKA,
EmasProdCode,259,KPR-AB-5TH,KPR-AB-5TH,
EmasProdCode,260,KPR-AN-EBA,KPR-AN-EBA,
EmasProdCode,261,KPR-BOD-FL,GRAHAAN,
EmasProdCode,262,KPR-DL-EBA,KPR-DL-EBA,
EmasProdCode,263,KPR-FL-EBA,KPR-FL-EBA,
EmasProdCode,264,KPR-FLEXI,GRAHAAN,
EmasProdCode,265,KPR-FLPP,KPR-FLPP,
EmasProdCode,266,KPR-GP2TH,KPR-GP2TH,
EmasProdCode,267,KPR-GRACE,GRAHAAN,
EmasProdCode,268,KPR-GRFLX,KPR-GRFLX,
EmasProdCode,269,KPR-KPM,KPR-KPM,
EmasProdCode,270,KSM-B2C,KSM-B2C,
EmasProdCode,271,KSM-CHNL,KSM-USAN,
EmasProdCode,272,KSM-CHNP2P,KSM-USAN,
EmasProdCode,273,KSM-HAJI,KSM-HAJI,
EmasProdCode,274,KSM-KEL-FL,KSM-ORG-FL,
EmasProdCode,275,KSM-ORG-FL,KSM-ORG-FL,
EmasProdCode,276,KSM-SECURE,KSM-SECURE,
EmasProdCode,277,KSM-UNSEC,KSM-UNSEC,
EmasProdCode,278,KSM-USAN,KSM-USAN,
EmasProdCode,279,KTAAN,KTAAN,
EmasProdCode,280,KTAANPTL,KTAANPTL,
EmasProdCode,281,KTAFL,KTAFL,
EmasProdCode,282,KTAFLXH-NP,KTAAN,
EmasProdCode,283,KTAFLXH-P,KTAAN,
EmasProdCode,284,KTAGPH3,KTAAN,
EmasProdCode,285,KTAGPH6,KTAAN,
EmasProdCode,286,KTAGT,KTAGT,
EmasProdCode,287,KUM-SAN-I,KUM-SAN-I,
EmasProdCode,288,KUM-SAN-M,KUM-SAN-M,
EmasProdCode,289,KUM-USAN-I,KUM-USAN-I,
EmasProdCode,290,KUM-USAN-M,KUM-USAN-M,
EmasProdCode,291,KUMUNSPALU,M-UM-UNSEC,
EmasProdCode,292,KUR-K-PSR,KUR-K-PSR,
EmasProdCode,293,KUR-KEC-UI,KUR-KEC-UI,
EmasProdCode,294,KUR-KEC-UM,KUR-KEC-UM,
EmasProdCode,295,KUR-SAN-I,KUR-SAN-I,
EmasProdCode,296,KUR-SAN-M,KUR-SAN-M,
EmasProdCode,297,KUR-SF-I,KUR-SF-I,
EmasProdCode,298,KUR-SF-M,KUR-SF-M,
EmasProdCode,299,KUR-USAN-I,KUR-USAN-I,
EmasProdCode,300,KUR-USAN-M,KUR-USAN-M,
EmasProdCode,301,KUR-USF-M,KUR-USF-M,
EmasProdCode,302,KURTANICHN,KURTANICHN,
EmasProdCode,303,KURTANISAN,KURTANISAN,
EmasProdCode,304,KURTANIUAN,KURTANIUAN,
EmasProdCode,305,M-ABLKUKNB,M-ABLKUKBK,
EmasProdCode,306,M-BPR-PKMA,M-BPR-PKMA,
EmasProdCode,307,M-BPR-PKMD,M-BPR-PKMD,
EmasProdCode,308,M-BRIDGING,M-BRIDGING,
EmasProdCode,309,M-BUNBUMD,M-BUNBUMD,
EmasProdCode,310,M-BUNKKU,M-BUNKKU,
EmasProdCode,311,M-BUNKUK,M-BUNKUK,
EmasProdCode,312,M-CASHCOL,M-CASHCOL,
EmasProdCode,313,M-CASHCOLL,M-CASHCALL,
EmasProdCode,314,M-EBIZ,M-EBIZ,
EmasProdCode,315,M-EKSPOR,M-EKSPOR,
EmasProdCode,316,M-EKSPORVA,M-EKSPORVA,
EmasProdCode,317,M-ESME1,M-ESME1,
EmasProdCode,318,M-ESME15,M-ESME15,
EmasProdCode,319,M-EXEC-NR,M-EXEC-NR,
EmasProdCode,320,M-FIXEDLN,M-FIXEDLN,
EmasProdCode,321,M-IMPOR,M-IMPOR,
EmasProdCode,322,M-IMPORVA,M-IMPORVA,
EmasProdCode,323,M-JOINTF,M-JOINTF,
EmasProdCode,324,M-KASB-ORI,M-KASB-ORI,
EmasProdCode,325,M-KASB-SUK,M-KASB-SUK,
EmasProdCode,326,M-KDNBUMN,M-KDNBUMN,
EmasProdCode,327,M-KKPA,M-KKPA,
EmasProdCode,328,M-KKPNKUT,M-KKPNKUT,
EmasProdCode,329,M-KKPNKUT2,M-KKPNKUT2,
EmasProdCode,330,M-KKPXKUT,M-KKPXKUT,
EmasProdCode,331,M-KKU,M-KUK,
EmasProdCode,332,M-KKUAN,M-KKUAN,
EmasProdCode,333,M-KLBIBANK,M-KLBIBANK,
EmasProdCode,334,M-KOPERASI,M-KOPERASI,
EmasProdCode,335,M-KPBA,M-KPBA,
EmasProdCode,336,M-KPBASME,KMK-MKUKBB,
EmasProdCode,337,M-KPBASMEF,M-KPBASMEF,
EmasProdCode,338,M-KT-PDUE,M-POSTNCL,
EmasProdCode,339,M-KUK,M-KUK,
EmasProdCode,340,M-KUK-BK,M-KUK-BK,
EmasProdCode,341,M-KUK-NB,M-KUK-NB,
EmasProdCode,342,M-KUKAN,M-KUKAN,
EmasProdCode,343,M-KUMLTAAN,M-KUMLTAAN,
EmasProdCode,344,M-KUMLTAFL,M-KUMLTAFL,
EmasProdCode,345,M-LAINVA,M-LAINVA,
EmasProdCode,346,M-MULACCT,M-MULACCT,
EmasProdCode,347,M-NKDNBUMN,M-NKDNBUMN,
EmasProdCode,348,M-NKXDBUMN,M-NKXDBUMN,
EmasProdCode,349,M-NONKUKBK,M-NONKUKBK,
EmasProdCode,350,M-OTD-IDR,M-OTD-IDR,
EmasProdCode,351,M-OTD-USD,M-OTD-USD,
EmasProdCode,352,M-PBSN,M-PBSN,
EmasProdCode,353,M-PKM-D1,M-PKM-D1,
EmasProdCode,354,M-PKUK-BK,M-PKUK-BK,
EmasProdCode,355,M-PKUK-NB,M-PKUK-NB,
EmasProdCode,356,M-POSFINVA,M-POSFINVA,
EmasProdCode,357,M-POSTFIN,M-UMUM,
EmasProdCode,358,M-POSTNCL,M-POSTNCL,
EmasProdCode,359,M-PUKK,M-PUKK,
EmasProdCode,360,M-REFINBEI,M-REFINBEI,
EmasProdCode,361,M-SINBKVA,M-SINBKVA,
EmasProdCode,362,M-SINNKBK,M-SINNKBK,
EmasProdCode,363,M-SUP,M-SUP,
EmasProdCode,364,M-SUPCHAIN,M-SUPCHAIN,
EmasProdCode,365,M-UM-A-SKI,M-UM-A-SKI,
EmasProdCode,366,M-UM-A-SMK,M-UM-A-SMK,
EmasProdCode,367,M-UM-A-UKI,M-UM-A-UKI,
EmasProdCode,368,M-UM-A-UMK,M-UM-A-UMK,
EmasProdCode,369,M-UM-BP-EF,M-UM-BP-EF,
EmasProdCode,370,M-UM-EBIZ,M-UM-EBIZ,
EmasProdCode,371,M-UM-ECOMF,M-UM-SEC,
EmasProdCode,372,M-UM-EFIS,M-UM-EFIS,
EmasProdCode,373,M-UM-FISH,M-UM-FISH,
EmasProdCode,374,M-UM-INV,M-UM-INV,
EmasProdCode,375,M-UM-J-SKI,M-UM-J-SKI,
EmasProdCode,376,M-UM-J-SMK,M-UM-J-SMK,
EmasProdCode,377,M-UM-J-UMK,M-UM-J-UMK,
EmasProdCode,378,M-UM-JAMIN,M-UM-JAMIN,
EmasProdCode,379,M-UM-KARFL,M-UM-KARFL,
EmasProdCode,380,M-UM-KELFL,M-UM-KELFL,
EmasProdCode,381,M-UM-KW,M-UM-KW,
EmasProdCode,382,M-UM-MANFL,M-UM-MANFL,
EmasProdCode,383,M-UM-MAPFL,M-UM-MAPFL,
EmasProdCode,384,M-UM-PB-EF,M-UM-PB-EF,
EmasProdCode,385,M-UM-PRIFL,M-UM-PRIFL,
EmasProdCode,386,M-UM-SEC,M-UM-SEC,
EmasProdCode,387,M-UM-TANI,M-UM-TANI,
EmasProdCode,388,M-UM-TANI2,M-UM-TANI2,
EmasProdCode,389,M-UM-TANI3,M-UM-TANI3,
EmasProdCode,390,M-UM-TONI,M-UM-TONI,
EmasProdCode,391,M-UM-TR14D,M-UM-TR14D,
EmasProdCode,392,M-UM-TRANS,M-UM-TRANS,
EmasProdCode,393,M-UM-TRCD,M-UM-TRCD,
EmasProdCode,394,M-UM-TRN1M,M-UM-TRN1M,
EmasProdCode,395,M-UM-UECOM,M-UM-UECOM,
EmasProdCode,396,M-UM-UNCH,M-UM-UNSEC,
EmasProdCode,397,M-UM-UNCHA,M-UM-UNCHW,
EmasProdCode,398,M-UM-UNCHW,M-UM-UNCHW,
EmasProdCode,399,M-UM-UNSEC,M-UM-UNSEC,
EmasProdCode,400,M-UMUM,M-UMUM,
EmasProdCode,401,M-WR,M-WR,
EmasProdCode,402,MHOP,MHOP,
EmasProdCode,403,MITRA,MITRA,
EmasProdCode,404,MITRAAN,MITRAAN,
EmasProdCode,405,MITRAFL,MITRAFL,
EmasProdCode,406,MITRAFLXH,MITRAAN,
EmasProdCode,407,MITRAGUNA,MITRAGUNA,
EmasProdCode,408,MKMFLXSEA3,MITRAAN,
EmasProdCode,409,MKMFLXSEA6,MITRAAN,
EmasProdCode,410,MOF,MOF,
EmasProdCode,411,MOFRBBG,MOFRBBG,
EmasProdCode,412,MOFRTBG,MOFRTBG,
EmasProdCode,413,MOFVA,MOFVA,
EmasProdCode,414,MSMECOM,MSMECOM,
EmasProdCode,415,MTBINV,MTB Investor,
EmasProdCode,416,MTBINV-OL,MTB INVESTOR ONLINE,
EmasProdCode,417,MTBINV-SGD,MTB INVESTOR RK SGD,
EmasProdCode,418,MTBINV-USD,MTB INVESTOR RK USD,
EmasProdCode,419,MTBINVOL,MTB INVESTOR ONLINE,
