VOLATILITY,,,,,,,,,,,,,,,,,,,,,,,VOLPOINT,,/VOLPOINT,/VOLATILITY
BOND_VOL_TYPE,CALIBRATION_BOUND_FUNCTION,CALIBRATION_FILTER_FUNCTION,CAP_FLOOR_FORWARD_VOL,CURR.INSID,DATA,DISPLACED_BLACK_SCHOLES_SHIFT,DOMESTIC_HOLIDAY_WEIGHT,DOMESTIC_WEEKEND_WEIGHT,EXPIRY_DATE_METHOD,EXPIRY_EXTRAPOLATION_METHOD,EXPIRY_INTERPOLATION_METHOD,FOREIGN_HOLIDAY_WEIGHT,FOREIGN_WEEKEND_WEIGHT,FRAMEWORK,INTERPOLATION_METHOD,INTERPOLATION_ORDER,RISK_TYPE,STRIKE_DIMENSION,STRIKE_TYPE,VOL_NAME,VOL_TYPE,VOL_VALUE_TYPE,INSADDR.INSID,VOLATILITY,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/2.00,0.15885481615,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/3.00,0.156879803833,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/5.00,0.164154331157,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/15Y/ATM,0.172702429625,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/-0.25,0.182489569026,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/-0.50,0.188378444715,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/-1.00,0.205851256824,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/-1.25,0.217647975166,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/-1.50,0.230313392907,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/0.00,0.176630826682,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/0.25,0.171946286749,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/0.50,0.169330220651,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/1.00,0.163555786324,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/10.00,0.183569825359,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/2.00,0.156697491571,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/3.00,0.151169965065,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/5.00,0.152397528033,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/20Y/ATM,0.170291335527,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/-0.25,0.193655347033,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/-0.50,0.19909665658,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/-1.00,0.218740050772,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/-1.25,0.231276185895,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/-1.50,0.245829754526,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/0.00,0.188000041741,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/0.25,0.183275350283,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/0.50,0.174865125816,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/1.00,0.168384447309,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/10.00,0.165604445685,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/2.00,0.158127150241,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/3.00,0.152874449671,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/5.00,0.149205450717,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/25Y/ATM,0.179309050524,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/-0.25,0.151759173747,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/-0.50,0.202688856089,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/-1.00,0.22405386392,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/-1.25,0.236543861772,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/-1.50,0.254763776007,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/0.00,0.187999989497,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/0.25,0.18143673098,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/0.50,0.178429426294,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/1.00,0.174467954506,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/10.00,0.152540859716,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/2.00,0.159987736931,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/3.00,0.152501832741,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/5.00,0.151232337458,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/30Y/ATM,0.181934657213,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/-0.25,0.188022310846,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/-0.50,0.170025840912,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/-1.00,0.172603575784,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/-1.25,0.19060625749,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/-1.50,0.21837879841,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/0.00,0.208761315243,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/0.25,0.226462169064,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/0.50,0.242621169652,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/1.00,0.2698561407,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/10.00,0.443315408087,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/2.00,0.312473654638,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/3.00,0.341790869807,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/5.00,0.384367503727,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/3Y/ATM,0.188533181926,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/-0.25,0.203562973077,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/-0.50,0.190799020102,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/-1.00,0.189684799024,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/-1.25,0.206860577881,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/-1.50,0.232425260588,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/0.00,0.219326182268,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/0.25,0.234343622833,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/0.50,0.248508024633,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/1.00,0.273398425489,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/10.00,0.429319562503,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/2.00,0.310933078324,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/3.00,0.338026724488,,
,,,,,,,,,,,,,,,,,,,,,,,EUR/CAP/EU6M/DISP-VOL/4Y/5.00,0.376864043391,,
