,Yes,Yes,Yes,Yes,AccountingParameters,DBObject,,,
,Yes,Yes,Yes,Yes,ParameterMapping,DBObject,,,
,Yes,Yes,Yes,Yes,ChangeRequest,DBObject,,,
,Yes,Yes,Yes,Yes,RollbackSpec,DBObject,,,
,Yes,Yes,Yes,Yes,IntradayPrice,DBObject,,,
,Yes,Yes,Yes,Yes,CreditEvent,DBObject,,,
,Yes,Yes,Yes,Yes,Confirmation,DBObject,,,
,Yes,Yes,Yes,Yes,FundingParameters,DBObject,,,
,Yes,Yes,Yes,Yes,Quotation,DBObject,,,
,Yes,Yes,Yes,Yes,ConditionalValueModel,DBObject,,,
,Yes,Yes,Yes,Yes,ConditionFilterList,DBObject,,,
,Yes,Yes,Yes,Yes,PartyGroup,DBObject,,,
,Yes,Yes,Yes,Yes,Prepayment,DBObject,,,
,Yes,Yes,Yes,Yes,RoundingSpec,DBObject,,,
,Yes,Yes,Yes,Yes,MtmValue,DBObject,,,
,Yes,Yes,Yes,Yes,SpreadTable,DBObject,,,
,Yes,Yes,Yes,Yes,PostTradeReport,DBObject,,,
,Yes,Yes,Yes,Yes,MatchLot,DBObject,,,
,Yes,Yes,Yes,Yes,ComponentLink,DBObject,,,
,Yes,Yes,Yes,Yes,TransHst,DBObject,,,
,Yes,Yes,Yes,Yes,OperationsDocument,DBObject,,,
,Yes,Yes,Yes,Yes,ServerConnections,DBObject,,,
,Yes,Yes,Yes,Yes,ServerInformation,DBObject,,,
,Yes,Yes,Yes,Yes,TaskGroup,DBObject,,,
,Yes,Yes,Yes,Yes,ServerSelects,DBObject,,,
,Yes,Yes,Yes,Yes,ServerLastRequest,DBObject,,,
,Yes,Yes,Yes,Yes,ServerMaxTimeRequest,DBObject,,,
,Yes,Yes,Yes,Yes,ServerHeavyRequest,DBObject,,,
,Yes,Yes,Yes,Yes,BusinessEvent,DBObject,,,
,Yes,Yes,Yes,Yes,TransHstSubscription,DBObject,,,
,Yes,Yes,Yes,Yes,Journal,DBObject,,,
,Yes,Yes,Yes,Yes,Book,DBObject,,,
,Yes,Yes,Yes,Yes,Treatment,DBObject,,,
,Yes,Yes,Yes,Yes,TreatmentLink,DBObject,,,
,Yes,Yes,Yes,Yes,AccountingInstruction,DBObject,,,
,Yes,Yes,Yes,Yes,BookMapping,DBObject,,,
,Yes,Yes,Yes,Yes,TAccount,DBObject,,,
,Yes,Yes,Yes,Yes,BookLink,DBObject,,,
,Yes,Yes,Yes,Yes,TAccountAllocLink,DBObject,,,
,Yes,Yes,Yes,Yes,TreatmentMapping,DBObject,,,
,Yes,Yes,Yes,Yes,AccInstructionMapping,DBObject,,,
,Yes,Yes,Yes,Yes,TAccountMapping,DBObject,,,
,Yes,Yes,Yes,Yes,ServerClientLog,DBObject,,,
,Yes,Yes,Yes,Yes,ServerClientProcess,DBObject,,,
,Yes,Yes,Yes,Yes,AllocationRule,DBObject,,,
,Yes,Yes,Yes,Yes,AllocationSchmTrdLnk,DBObject,,,
,Yes,Yes,Yes,Yes,AllocationDimension,DBObject,,,
,Yes,Yes,Yes,Yes,JournalInformation,DBObject,,,
,Yes,Yes,Yes,Yes,CollateralAgreement,DBObject,,,
,Yes,Yes,Yes,Yes,RoutingInstruction,DBObject,,,
,Yes,Yes,Yes,Yes,RoutingInstrMapping,DBObject,,,
,Yes,Yes,Yes,Yes,RoutingRedirection,DBObject,,,
,Yes,Yes,Yes,Yes,BusinessProcess,DBObject,,,
,Yes,Yes,Yes,Yes,StateChart,DBObject,,,
,Yes,Yes,Yes,Yes,ReconciliationDocument,DBObject,,,
,Yes,Yes,Yes,Yes,PriceLinkDefinition,DBObject,,,
,Yes,Yes,Yes,Yes,PaceConfiguration,DBObject,,,
,Yes,Yes,Yes,Yes,PaceEngine,DBObject,,,
,Yes,Yes,Yes,Yes,ConfigurationParameter,DBObject,,,
,Yes,Yes,Yes,Yes,TimeSeriesDvSpec,DBObject,,,
,Yes,Yes,Yes,Yes,TimeSeriesDv,DBObject,,,
,Yes,Yes,Yes,Yes,Limit,DBObject,,,
,Yes,Yes,Yes,Yes,LimitSpec,DBObject,,,
,Yes,Yes,Yes,Yes,TradeAliasType,DBObject,,,
,Yes,Yes,Yes,Yes,StateChartMapping,DBObject,,,
,Yes,Yes,Yes,Yes,DealPackage,DBObject,,,
,Yes,Yes,Yes,Yes,FundingRatesSpec,DBObject,,,
,Yes,Yes,Yes,Yes,FundingRatesLink,DBObject,,,
,Yes,Yes,Yes,Yes,LimitValue,DBObject,,,
,Yes,Yes,Yes,Yes,TieringCategory,DBObject,,,
,Yes,Yes,Yes,Yes,TieringCategoryLink,DBObject,,,
,Yes,Yes,Yes,Yes,QuoteSettingData,DBObject,,,
,Yes,Yes,Yes,Yes,QuoteRequestOwnership,DBObject,,,
,Yes,Yes,Yes,Yes,ActiveOrder,DBObject,,,
,Yes,Yes,Yes,Yes,TransHstValidFrom,DBObject,,,
,Yes,Yes,Yes,Yes,SalesActivity,DBObject,,,
,Yes,Yes,Yes,Yes,SettleInstrMapping,DBObject,,,
,Yes,Yes,Yes,Yes,AmsAttribute,DBObject,,,
,Yes,Yes,Yes,Yes,PositionSpecification,DBObject,,,
,Yes,Yes,Yes,Yes,CalcRow,DBObject,,,
,Yes,Yes,Yes,Yes,CalcColumn,DBObject,,,
,Yes,Yes,Yes,Yes,ValueSession,DBObject,,,
,Yes,Yes,Yes,Yes,ValueSessionType,DBObject,,,
,Yes,Yes,Yes,Yes,PriceSemantic,DBObject,,,
,Yes,Yes,Yes,Yes,InstrumentPackage,DBObject,,,
,Yes,Yes,Yes,Yes,FixingDateRule,DBObject,,,
,Yes,Yes,Yes,Yes,Person,DBObject,,,
,Yes,Yes,Yes,Yes,JournalLink,DBObject,,,
,Yes,Yes,Yes,Yes,HierarchyType,DBObject,,,
,Yes,Yes,Yes,Yes,Hierarchy,DBObject,,,
,Yes,Yes,Yes,Yes,RiskFactorSetup,DBObject,,,
,Yes,Yes,Yes,Yes,UniqueString,DBObject,,,
,Yes,Yes,Yes,Yes,JournalHst,DBObject,,,
,Yes,Yes,Yes,Yes,JournalInformationHst,DBObject,,,
,Yes,Yes,Yes,Yes,ExternalObject,DBObject,,,
,Yes,Yes,Yes,Yes,ComplianceRule,DBObject,,,
,Yes,Yes,Yes,Yes,AppliedRule,DBObject,,,
,Yes,Yes,Yes,Yes,Alert,DBObject,,,
,Yes,Yes,Yes,Yes,MarginCall,DBObject,,,
,Yes,Yes,Yes,Yes,MasterAgreement,DBObject,,,
,Yes,Yes,Yes,Yes,BillingInformation,DBObject,,,
,Yes,Yes,Yes,Yes,ThresholdAdj,DBObject,,,
,Yes,Yes,Yes,Yes,Batch Report,DBObject,,,
,Yes,Yes,Yes,Yes,Message,DBObject,,,
,Yes,Yes,Yes,Yes,Printers,DBObject,,,
,Yes,Yes,Yes,Yes,Default Protection,DBObject,,,
,Yes,Yes,Yes,Yes,Risk Free YC,DBObject,,,
,Yes,Yes,Yes,Yes,AEL Module,DBObject,,,
,Yes,Yes,Yes,Yes,SQL Query,DBObject,,,
,Yes,Yes,Yes,Yes,Extension Module,DBObject,,,
,Yes,Yes,Yes,Yes,Extension Context,DBObject,,,
,Yes,Yes,Yes,Yes,SQL Report,DBObject,,,
,Yes,Yes,Yes,Yes,Remote Sheet Definition,DBObject,,,
,Yes,Yes,Yes,Yes,Remote Sheet Collection,DBObject,,,
,Yes,Yes,Yes,Yes,Stock,DBObject,,,
,Yes,Yes,Yes,Yes,Commodity,DBObject,,,
,Yes,Yes,Yes,Yes,Future/Forward,DBObject,,,
,Yes,Yes,Yes,Yes,Option,DBObject,,,
,Yes,Yes,Yes,Yes,Warrant,DBObject,,,
,Yes,Yes,Yes,Yes,Bond,DBObject,,,
,Yes,Yes,Yes,Yes,FRN,DBObject,,,
,Yes,Yes,Yes,Yes,CLN,DBObject,,,
,Yes,Yes,Yes,Yes,PromisLoan,DBObject,,,
,Yes,Yes,Yes,Yes,Zero,DBObject,,,
,Yes,Yes,Yes,Yes,Bill,DBObject,,,
,Yes,Yes,Yes,Yes,CallAccount,DBObject,,,
,Yes,Yes,Yes,Yes,CD,DBObject,,,
,Yes,Yes,Yes,Yes,Not used,DBObject,,,
,Yes,Yes,Yes,Yes,Deposit,DBObject,,,
,Yes,Yes,Yes,Yes,FRA,DBObject,,,
,Yes,Yes,Yes,Yes,Swap,DBObject,,,
,Yes,Yes,Yes,Yes,CurrSwap,DBObject,,,
,Yes,Yes,Yes,Yes,Cap,DBObject,,,
,Yes,Yes,Yes,Yes,Floor,DBObject,,,
,Yes,Yes,Yes,Yes,Curr,DBObject,,,
,Yes,Yes,Yes,Yes,EquityIndex,DBObject,,,
,Yes,Yes,Yes,Yes,RateIndex,DBObject,,,
,Yes,Yes,Yes,Yes,Convertible,DBObject,,,
,Yes,Yes,Yes,Yes,Combination,DBObject,,,
,Yes,Yes,Yes,Yes,FreeDefCF,DBObject,,,
,Yes,Yes,Yes,Yes,FxSwap,DBObject,,,
,Yes,Yes,Yes,Yes,Collateral,DBObject,,,
,Yes,Yes,Yes,Yes,SecurityLoan,DBObject,,,
,Yes,Yes,Yes,Yes,Repo/Reverse,DBObject,,,
,Yes,Yes,Yes,Yes,BuySellback,DBObject,,,
,Yes,Yes,Yes,Yes,PriceIndex,DBObject,,,
,Yes,Yes,Yes,Yes,IndexLinkedBond,DBObject,,,
,Yes,Yes,Yes,Yes,TotalReturnSwap,DBObject,,,
,Yes,Yes,Yes,Yes,CreditDefaultSwap,DBObject,,,
,Yes,Yes,Yes,Yes,EquitySwap,DBObject,,,
,Yes,Yes,Yes,Yes,DualCurrBond,DBObject,,,
,Yes,Yes,Yes,Yes,MBS/ABS,DBObject,,,
,Yes,Yes,Yes,Yes,UnKnown,DBObject,,,
,Yes,Yes,Yes,Yes,CashCollateral,DBObject,,,
,Yes,Yes,Yes,Yes,BasketRepo/Reverse,DBObject,,,
,Yes,Yes,Yes,Yes,CreditIndex,DBObject,,,
,Yes,Yes,Yes,Yes,IndexLinkedSwap,DBObject,,,
,Yes,Yes,Yes,Yes,BasketSecurityLoan,DBObject,,,
,Yes,Yes,Yes,Yes,CFD,DBObject,,,
,Yes,Yes,Yes,Yes,VarianceSwap,DBObject,,,
,Yes,Yes,Yes,Yes,Fund,DBObject,,,
,Yes,Yes,Yes,Yes,Depositary Receipt,DBObject,,,
,Yes,Yes,Yes,Yes,FXOptionDatedFwd,DBObject,,,
,Yes,Yes,Yes,Yes,Portfolio Swap,DBObject,,,
,Yes,Yes,Yes,Yes,ETF,DBObject,,,
,Yes,Yes,Yes,Yes,Fx Rate,DBObject,,,
,Yes,Yes,Yes,Yes,PriceSwap,DBObject,,,
,Yes,Yes,Yes,Yes,Commodity Index,DBObject,,,
,Yes,Yes,Yes,Yes,Commodity Variant,DBObject,,,
,Yes,Yes,Yes,Yes,Certificate,DBObject,,,
,Yes,Yes,Yes,Yes,VolatilitySwap,DBObject,,,
,Yes,Yes,Yes,Yes,Credit Balance,DBObject,,,
,Yes,Yes,Yes,Yes,Dividend Point Index,DBObject,,,
,Yes,Yes,Yes,Yes,Flexi Bond,DBObject,,,
,Yes,Yes,Yes,Yes,Average Future/Forward,DBObject,,,
,Yes,Yes,Yes,Yes,Precious Metal Rate,DBObject,,,
,Yes,Yes,Yes,Yes,Rolling Schedule,DBObject,,,
,Yes,Yes,Yes,Yes,Autocallable,DBObject,,,
,Yes,Yes,Yes,Yes,Average Option,DBObject,,,
,Yes,Yes,Yes,Yes,Cash Flow Future,DBObject,,,
,Yes,Yes,Yes,Yes,Fx Forward Rate,DBObject,,,
,Yes,Yes,Yes,Yes,Reverse Security Loan,DBObject,,,
,Yes,Yes,Yes,Yes,Basket Repo/Reverse Legacy,DBObject,,,
,Yes,Yes,Yes,Yes,Compounded Index,DBObject,,,
,Yes,Yes,Yes,Yes,Amendment,DBObject,,,
,Yes,Yes,Yes,Yes,Transfer,DBObject,,,
,,,,,Bypass Protection,Operation,,,
,,,,,Bypass Read Protection,Operation,,,
,,,,,FO Confirm,Operation,,,
,,,,,Modify FO,Operation,,,
,,,,,BO Confirm,Operation,,,
,,,,,Modify Confirmed,Operation,,,
,,,,,Modify Exchange,Operation,,,
,,,,,Modify Internal,Operation,,,
,,,,,Demote Confirmation,Operation,,,
,,,,,Void Deal,Operation,,,
,,,,,Mark to Market,Operation,,,
,,,,,Edit MTM Prices,Operation,,,
,,,,,Override All Levels,Operation,,,
,,,,,Modify FO Part,Operation,,,
,,,,,Modify BO Part,Operation,,,
,,,,,Modify Terminated,Operation,,,
,,,,,Delete BO Confirmed,Operation,,,
,,,,,Change Valuation Group,Operation,,,
