ACCINSTRUCTIONMAPPING,,,,,,,,/ACCINSTRUCTIONMAPPING
TREATMENT_LINK.ID,ID,QUERY_SEQNBR.NAME,NEXT_ID,QUERY_SEQNBR.TYPE,BOOK_LINK.ID,PREVIOUS_ID,TYPE,
Treasury_SH_ACU|Repo|Repo_MF_Pay Date Interest PL,55ba3a8c-4404-428c-bb13-88c4d70e0fa1,A_AI_MF_Interest,b9219f8b-cbc0-49cb-8e3c-516d78caca3f,FASQL Query,Treasury_SH_ACU|Repo,,Money Flow,
Treasury_SH_ACU|Repo|Repo_TD_Daily Interest Accrual,eda8945f-4251-45ba-abbd-e332657f74c4,A_AI_TD_All,55b68885-97c1-404f-b4da-ce150dc59390,FASQL Query,Treasury_SH_ACU|Repo,,Trade,
Treasury_SH_ACU|Reverse Repo|Repo_MF_Pay Date Interest PL,7de5af44-a217-4543-a792-feb9bd53f3d7,A_AI_MF_Interest,29d99704-4817-49bd-aaaf-e3d76a50c752,FASQL Query,Treasury_SH_ACU|Reverse Repo,2ebb8822-ca33-49bc-a894-5988e6e9c3ea,Money Flow,
Treasury_SH_ACU|Reverse Repo|Repo_MF_Value Date Principal,2ebb8822-ca33-49bc-a894-5988e6e9c3ea,A_AI_MF_Premium,7de5af44-a217-4543-a792-feb9bd53f3d7,FASQL Query,Treasury_SH_ACU|Reverse Repo,4845e3aa-e8f6-4d1f-ae36-6e4fcc1d3b51,Money Flow,
Treasury_SH_ACU|Reverse Repo|Repo_MF_Maturity Date Principal,4845e3aa-e8f6-4d1f-ae36-6e4fcc1d3b51,A_AI_MF_FixedAmount,2ebb8822-ca33-49bc-a894-5988e6e9c3ea,FASQL Query,Treasury_SH_ACU|Reverse Repo,,Money Flow,
Treasury_SH_ACU|Reverse Repo|Repo_TD_Daily Interest Accrual,35d5d29a-366f-4595-bc0b-97677491dc78,A_AI_TD_All,23874a34-4632-4caf-a22b-2bdbbd8bb877,FASQL Query,Treasury_SH_ACU|Reverse Repo,,Trade,
Treasury_SH_ACU|Bond Forward|Bond Forward_TD_Daily MtM Contract,41797a93-aeaf-4858-932d-df80d1bd1eac,A_AI_TD_All,69e4c8f0-7796-4e03-8025-484879e191e5,FASQL Query,Treasury_SH_ACU|Bond Forward,,Trade,
Treasury_SH_ACU|Cash_Payment Autoinvest|CP_AutoInvest_Premium,629bb805-b8f0-4b0e-a85b-462a55db06b4,A_AI_Sett_PaymentPremium,ca91393c-c802-4e19-ac1e-4076de83b084,FASQL Query,Treasury_SH_ACU|Cash_Payment Autoinvest,,Settlement,
Treasury_SH_ACU|Cash_Payment Autoinvest|CP_Interest Accrued,ca91393c-c802-4e19-ac1e-4076de83b084,A_AI_Sett_InterestAccrued,1a02df55-f8ed-47c2-ab89-723523f5434c,FASQL Query,Treasury_SH_ACU|Cash_Payment Autoinvest,629bb805-b8f0-4b0e-a85b-462a55db06b4,Settlement,
Treasury_SH_ACU|Cash_Payment Autoinvest|CP_Interest income,1a02df55-f8ed-47c2-ab89-723523f5434c,A_AI_Sett_InterestAccrued,,FASQL Query,Treasury_SH_ACU|Cash_Payment Autoinvest,ca91393c-c802-4e19-ac1e-4076de83b084,Settlement,
