TREATMENTLINK,,,,/TREATMENTLINK
BOOK.NAME,TREATMENT.NAME,ACCOUNTING_INSTRUCTION.NAME,ID,
Treasury_SH_ACU,Placement,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_SH_ACU|Placement|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_SH_ACU,Borrowing,PSAK_MF_Pay Date Attributable Fee,Treasury_SH_ACU|Borrowing|PSAK_MF_Pay Date Attributable Fee,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Pay Date Interest PL_FCY (NI),Treasury_SH_ACU|Borrowing|DepoLoan_MF_Pay Date Interest PL_FCY (NI),
Treasury_SH_ACU,Borrowing,DepoLoan_TD_Daily Interest Accrual_FCY (NI),Treasury_SH_ACU|Borrowing|DepoLoan_TD_Daily Interest Accrual_FCY (NI),
Treasury_SH_ACU,FX NDF,FX_MF_Settle Date Payout_FCY (NI),Treasury_SH_ACU|FX NDF|FX_MF_Settle Date Payout_FCY (NI),
Treasury_SH_ACU,FX NDF,FX_MF_Settle Date Payout_FCY_ACCY,Treasury_SH_ACU|FX NDF|FX_MF_Settle Date Payout_FCY_ACCY,
Treasury_SH_ACU,Reverse Repo,Repo_MF_Trade Date Principal,Treasury_SH_ACU|Reverse Repo|Repo_MF_Trade Date Principal,
Treasury_SH_ACU,Borrowing,PSAK_MF_Pay Date WIthholding Tax,Treasury_SH_ACU|Borrowing|PSAK_MF_Pay Date WIthholding Tax,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,Treasury_SH_ACU|Borrowing|DepoLoan_MF_Pay Date WIthholding Tax _FCY_IDR,
Treasury_SH_ACU,Borrowing,DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),Treasury_SH_ACU|Borrowing|DepoLoan_MF_Pay Date WIthholding Tax_FCY (NI),
Treasury_SH_ACU,Placement(Discounted),DepoLoan Discounted_MF_Maturity Pay Date,Treasury_SH_ACU|Placement(Discounted)|DepoLoan Discounted_MF_Maturity Pay Date,
Treasury_SH_ACU,Repo,Repo_MF_Trade Date Principal,Treasury_SH_ACU|Repo|Repo_MF_Trade Date Principal,
Treasury_SH_ACU,Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_SH_ACU|Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_SH_ACU,Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SH_ACU|Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SH_ACU,Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_SH_ACU|Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_SH_ACU,Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_SH_ACU|Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_SH_ACU,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY (NI),Treasury_SH_ACU|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY (NI),
Treasury_SH_ACU,Reverse Repo,Repo_TD_Daily Interest Accrual_FCY_ACCY,Treasury_SH_ACU|Reverse Repo|Repo_TD_Daily Interest Accrual_FCY_ACCY,
Treasury_SH_ACU,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY_ACCY,Treasury_SH_ACU|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY_ACCY,
Treasury_SH_ACU,Reverse Repo,Repo_MF_Pay Date Interest PL_FCY (NI),Treasury_SH_ACU|Reverse Repo|Repo_MF_Pay Date Interest PL_FCY (NI),
Treasury_SH_ACU,Placement(Discounted),Bond_TD_Daily Attributable Fee Amortization,Treasury_SH_ACU|Placement(Discounted)|Bond_TD_Daily Attributable Fee Amortization,
Treasury_SH_ACU,Placement(Discounted),PSAK_MF_Pay Date Attributable Fee,Treasury_SH_ACU|Placement(Discounted)|PSAK_MF_Pay Date Attributable Fee,
