CHOICELIST,,,/CHOICELIST
Branch,010304-KCP JAKARTA JALAN SUNDA,JKTSARIDR,
Branch,010305-KCP JAKARTA WISMA NUSANTARA,JKTNUSAIDR,
Branch,010306-(DO NOT USE XXX),JKTPINS,
Branch,010307-KCP JAKARTA SARINAH,JKTSARNIDR,
Branch,010308-(DO NOT USE XXX),JKTMENT,
Branch,010309-(DO NOT USE XXX),JKTIDST,
Branch,010310-(DO NOT USE XXX),JKTCALT,
Branch,010311-(DO NOT USE XXX),JKTPOST,
Branch,010312-KCP JAKARTA WISMA ALIA,JKTWSALIA,
Branch,010313-KCP JAKARTA RSPAD GATOT SUBROTO,JKTSENIDR,
Branch,010314-KCP JAKARTA ATRIUM SENEN,JKTATRIUMS,
Branch,010315-KCP JAKARTA MENARA DANAREKSA,JKTPRAPIDR,
Branch,010316-KCP JAKARTA PLN GAMBIR,JKTPLNIDR,
Branch,010317-KK JAKARTA DEPARTEMEN AGAMA,JKTDPAGIDR,
Branch,010318-KCP JAKARTA GEDUNG BIMANTARA,JKTBIMIDR,
Branch,010319-KK JAKARTA STASIUN SENEN,JKTSTSEIDR,
Branch,010320-KCP JAKARTA PUSAT GROSIR SENEN,KCPJKTPGRS,
Branch,010321-KCP JAKARTA CUT MEUTIA,KCPJKTCMUT,
Branch,010322-KCP JAKARTA KP PERTAMINA,KCPJKTPRTM,
Branch,010323-KCP JAKARTA KPKN II,KCPJKTKPKN,
Branch,010324-KCP JAKARTA DEPARTEMEN KEUANGAN,KCPJKTDEPK,
Branch,010325-KK JAKARTA KEMENTERIAN LUAR NEGE,KKJKTKEMLU,
Branch,010400-KCP JAKARTA BURSA EFEK,JKTBEJIDR,
Branch,010500-KCP MEDAN IMAM BONJOL,MDNIMANBON,
Branch,010501-KCP MEDAN PULOPINANG,MDNTIARA,
Branch,010502-KCP MEDAN ZAINUL ARIFIN,MDNZAINULA,
Branch,010503-KCP MEDAN GATOT SUBROTO,MDNGATSU,
Branch,010504-KCP MEDAN KIRANA,MDNKIRANA,
Branch,010505-KCP MEDAN TAMAN SETIABUDI,MDNTMSETIA,
Branch,010506-KC PANGKALAN BRANDAN,PNGKLBRAND,
Branch,010507-KC MEDAN S PARMAN,KCMEDANSPA,
Branch,010507-KK MEDAN DHARMA AGUNG,MDNDHARMAA,
Branch,010508-KK MEDAN PLN WILAYAH II,MDNPLN2IDR,
Branch,010509-(DO NOT USE XXX),BNAIDRX,
Branch,010510-(DO NOT USE XXX),LHMMERDE,
Branch,010511-(DO NOT USE XXX),LHMPENDO,
Branch,010512-(DO NOT USE XXX),LGSI,
Branch,010513-KK MEDAN PERTAMINA,MDNPERTAMI,
Branch,010514-(DO NOT USE XXX),KSGI,
Branch,010515-(DO NOT USE XXX),BNACUTME,
Branch,010516-KK MEDAN KATAMSO,MDNKATAMSO,
Branch,010517-KK MEDAN TANJUNG MORAWA,MDNTNJMORA,
Branch,010518-KK MEDAN JW MARRIOT,MDNADAM,
Branch,010519-KCP MEDAN CITRA GARDEN,MEDANSIMPA,
Branch,010520-KC LUBUK PAKAM,KCLUBUKPAK,
Branch,010521-KC BERASTAGI,KCBERASTAG,
Branch,010522-KK MEDAN MAIMUN,KKMDNMAIMU,
Branch,010523-KK MEDAN SETIABUDI,KKMDNSTIAB,
Branch,010524-KK MEDAN CEMARA ASRI,KKMDNCEMAS,
Branch,010525-KK MEDAN CENTER POINT,KKMDNCENPO,
Branch,010526-KK MEDAN BANDARA KUALA NAMU,KKMDNBANKU,
Branch,010527-KCP MEDAN GATOT SUBROTO 2,KCPMEGATOT,
Branch,010528-KCP MEDAN JOHOR CITY,KCPHORCITY,
Branch,010529-KCP MEDAN KARYA SEI AGUL,KCPSEIAGUL,
Branch,010531-KCP KABANJAHE,KBJIDR,
Branch,010561-KK STABAT,STBIDR,
Branch,010575-KCP MEDAN PANCUR BATU,KCPMDNPNRB,
Branch,010576-KCP MEDAN DELITUA,KCPMDNDELI,
Branch,010577-KCP MEDAN BATANG KUIS,KCPMDNBTKU,
Branch,010578-KCP MEDAN PERBAUNGAN,KCPMDNPBAU,
Branch,010579-KCP MEDAN TANJUNG PURA,KCPMDNTNPR,
Branch,010580-KCP DELI SERDANG GALANG,KCPDELISER,
Branch,010581-KCP MEDAN PASAR MELATI,KCPMDNPSRM,
Branch,010582-KCP MEDAN PASAR GAMBIR,KCPMDNPSRG,
Branch,010583-KCP MEDAN AMPLAS,KCPMDNAMPL,
Branch,010584-KCP TIGA BINANGA,KCPTIGA,
Branch,010585-KCP SIDIKALANG (POS),KCPSIDI,
Branch,010586-KCP MEDAN JOHOR,KCPJOHOR,
Branch,010587-KCP MEDAN SUNGGAL,KCPSUNGGAL,
Branch,010588-KCP MEDAN A.R. HAKIM,KCPARHAKIM,
Branch,010589-KCP BESITANG,KCPBESITAN,
Branch,010590-KCP LUBUK PAKAM PASAR BAKARAN BA,KCPBUPAKAM,
Branch,010591-KCP KABANJAHE PASAR INPRES,KCPBANJAHE,
Branch,010592-KCP STABAT KUALA BEGUMIT,KCPSTABAT,
Branch,010600-KC MEDAN BALAI KOTA,MDNBALAIKO,
Branch,010601-KCP MEDAN LAPANGAN MERDEKA,MDNLAPMERD,
Branch,010602-KCP MEDAN AHMAD YANI,MDNAYANI,
Branch,010603-KCP MEDAN BELAWAN,MDNBELAWAN,
Branch,010604-KCP MEDAN GUNUNG KRAKATAU,MDNGNNGKRA,
Branch,010605-KCP MEDAN PUSAT PASAR,MDNPUSATPA,
Branch,010606-KCP MEDAN ASIA,MDNASIAIDR,
Branch,010607-KCP MEDAN LETDA SUJONO,MDNLETDASU,
Branch,010608-KCP MEDAN PULO BRAYAN,MDNPULOBRA,
Branch,010609-KC TEBING TINGGI,TBTIDR,
Branch,010610-KCP BINJAI,BJIIDR,
Branch,010611-KCP MEDAN PERINTIS KEMERDEKAAN,MDNYAMIDR,
Branch,010612-KCP MEDAN SUKARAME,MDNKIM,
Branch,010613-KCP MEDAN JALAN CIREBON,MDNJLNCIRE,
Branch,010614-KCP MEDAN ISKANDAR MUDA,MDNISKNMUD,
Branch,010615-KK MEDAN KAPTEN MUSLIM,MDNKPTNMUS,
Branch,010616-KK MEDAN SISINGAMANGARAJA,MDNSISINGA,
Branch,010617-KCP MEDAN MAKRO BISNIS,KCMEDANMAK,
Branch,010618-KK MEDAN WAHIDIN,KKMDNWAHID,
Branch,010619-KK MEDAN GUNUNG KRAKATAU 2,KKMEDAN,
Branch,010620-KK MEDAN UNIVERSITAS SUMATERA UT,MDNUSUIDR,
Branch,010621-KK MEDAN JALAN BANDUNG,KKMDNJLNBD,
Branch,010622-KCP MEDAN MEGA BUSINESS CENTER,KKMDNMGABC,
Branch,010623-KCP MEDAN MARELAN RAYA,KCPMARELAN,
Branch,010624-KCP MEDAN CBD POLONIA,KCPPOLONIA,
Branch,010625-KCP DELI TUA,KCPDELITUA,
Branch,010626-KCP STABAT,KCPKISARAN,
Branch,010627-KCP MEDAN CEMARA ASRI,KCPMDNCMRA,
Branch,010675-KCP MEDAN MARELAN,KCPMDNMARL,
Branch,010676-KCP MEDAN SEI RAMPAH,KCPMDNSRAM,
Branch,010677-KCP MEDAN KUALA,KCPMDNKUAL,
Branch,010678-KCP MEDAN BRAHARANG,KCPMDNBRAH,
